,Dataset,Model,Type,Train_len,Mean,Median,95th,MAX,queries,query_ms,alpha,mixup
0,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.962,1.529,4.475,11.909,200,27.425,,
1,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.506,1.822,6.227,32.750,200,27.242,0.8,True
2,DMV_ofnan,DARE(transformer),distill,2000.0,2.471,1.812,6.202,26.200,200,27.214,0.8,True
3,DMV_ofnan,DARE(transformer),distill,200000.0,21393.727,3.128,26950.000,2327646.000,200,27.160,0.8,True
4,DMV_ofnan,DARE(GAU),distill,2000.0,2.966,1.503,12.000,35.294,200,62.346,0.75,True
5,DMV_ofnan,DARE(transformer),distill,2000.0,2.456,1.720,6.574,26.200,200,27.295,0.8,True
6,DMV_ofnan,DARE(GAU),distill,200000.0,9.328,1.260,46.000,272.000,200,62.288,0.85,True
7,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.572,1.187,7.875,7.875,20,24.793,1.0,
8,DMV_ofnan,DARE(transformer),distill,200000.0,79.318,2.151,189.000,7196.000,200,27.278,0.8,True
9,DMV_ofnan,DARE(transformer),distill,2000.0,6.477,1.776,6.288,799.556,200,27.401,0.75,True
10,DMV_ofnan,DARE(GAU),distill,200000.0,11.857,1.331,52.750,600.000,200,62.244,0.75,True
11,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.529,1.191,7.000,7.000,20,25.013,0.8,
12,DMV_ofnan,DARE(transformer),distill,,2.427,1.870,5.500,26.200,200,27.438,,
13,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,102.124,2.169,117.561,8440.000,200,27.387,,
14,DMV_ofnan,DARE(transformer),distill,,17697.972,1.834,1597.000,2327646.000,200,27.500,0.85,True
15,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,7.896,1.231,36.000,189.000,200,62.313,0.85,True
16,DMV_ofnan,DARE(transformer),distill,,388.059,1.736,799.600,26950.000,200,27.398,,
17,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,6.894,1.196,38.308,134.000,200,62.386,,
18,DMV_ofnan,DARE(GAU),distill,2000.0,3.169,1.598,13.043,58.000,200,62.432,0.85,True
19,DMV_ofnan,DARE(GAU),distill,200000.0,10.622,1.277,78.364,498.000,200,62.218,0.75,True
20,DMV_ofnan,DARE(GAU),distill,2000.0,4.060,1.664,13.836,87.000,200,62.372,0.8,True
21,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,9.529,1.278,37.122,600.000,200,62.368,0.85,True
22,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,4.448,1.597,17.000,125.000,200,62.373,0.8,True
23,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,53940.244,1.890,9142.681,4354553.000,200,27.440,0.85,True
24,DMV_ofnan,DARE(transformer),distill,20000.0,17717.766,2.021,3040.000,2327646.000,200,27.203,0.75,True
25,DMV_ofnan,DARE(transformer),distill,200000.0,4939.727,4.000,19990.000,366656.500,200,27.300,0.85,True
26,DMV_ofnan,DARE(GAU),distill,20000.0,7.388,1.271,33.000,421.600,200,62.260,0.8,True
27,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,14.520,1.135,40.000,932.500,200,62.416,,
28,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,11.906,1.279,97.000,194.800,200,62.205,0.85,True
29,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.604,1.187,8.591,8.591,20,24.797,0.85,
30,DMV_ofnan,DARE(transformer),distill,200000.0,389.958,2.818,97.000,67156.000,200,27.232,0.85,True
31,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.570,1.188,7.875,7.875,20,25.013,0.8,
32,DMV_ofnan,DARE(GAU),distill,20000.0,18.927,1.303,52.000,1688.000,200,62.335,0.75,True
33,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.685,1.292,3.000,98.000,2000,27.304,0.8,
34,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,54188.853,2.005,6102.000,4354553.000,200,27.374,,
35,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.918,1.750,4.812,131.000,200,27.280,0.75,True
36,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,56741.576,2.635,26951.000,4354553.000,200,27.315,0.8,True
37,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,53841.569,1.926,1677.775,4354553.000,200,27.174,0.85,True
38,DMV_ofnan,DARE(GAU),distill,200000.0,14.052,1.272,58.000,600.000,200,62.257,0.8,True
39,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,3.927,1.656,14.000,87.000,200,62.441,0.8,True
40,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,27.008,1.237,33.000,3615.000,200,62.362,0.85,True
41,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,7.110,1.214,34.485,249.000,200,62.260,0.8,True
42,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,53877.133,2.118,6102.000,4354553.000,200,27.176,0.85,True
43,DMV_ofnan,DARE(transformer),distill,20000.0,519.921,1.960,862.617,26950.000,200,27.341,0.75,True
44,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,57078.527,3.376,64973.040,4365315.000,200,27.153,0.8,True
45,DMV_ofnan,DARE(transformer),distill,20000.0,17695.983,2.007,2261.000,2327646.000,200,27.179,0.85,True
46,DMV_ofnan,DARE(GAU),distill,20000.0,26.746,1.243,33.000,3615.000,200,62.370,0.85,True
47,DMV_ofnan,DARE(transformer),distill,20000.0,17647.075,1.931,600.000,2327646.000,200,27.300,0.8,True
48,DMV_ofnan,DARE(transformer),distill,200000.0,66.737,2.638,189.000,3194.000,200,27.208,0.75,True
49,DMV_ofnan,DARE(GAU),distill,2000.0,4.088,1.523,13.857,125.000,200,62.368,0.75,True
50,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,13.633,1.255,62.500,600.000,200,62.309,0.8,True
51,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,4033.478,4.046,26958.000,147312.500,200,27.313,0.85,True
52,DMV_ofnan,DARE(transformer),distill,2000.0,2.924,1.744,4.754,131.000,200,27.206,0.75,True
53,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,3.359,1.332,12.500,87.000,200,62.454,,
54,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,8.005,1.489,17.000,903.750,200,62.335,0.85,True
55,DMV_ofnan,DARE(GAU),distill,,4.319,1.284,15.708,301.000,2000,62.333,,
56,DMV_ofnan,DARE(GAU),distill,20000.0,6.765,1.211,38.857,150.000,200,62.255,0.8,True
57,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,6.603,1.772,6.246,800.778,200,27.434,0.75,True
58,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,53828.080,1.958,828.024,4354553.000,200,27.359,0.8,True
59,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,54.885,2.483,116.897,3194.000,200,27.232,0.75,True
60,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,43029.189,2.095,5951.368,2787650.000,200,27.214,0.75,True
61,DMV_ofnan,DARE(transformer),distill,20000.0,34722.796,2.381,24800.250,2721675.000,200,27.351,0.8,True
62,DMV_ofnan,DARE(GAU),distill,2000.0,4.298,1.578,17.000,125.000,200,62.361,0.8,True
63,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,7.316,1.264,33.000,396.600,200,62.221,0.8,True
64,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,1.419,1.208,4.500,4.500,20,123.077,0.8,
65,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,167.103,2.142,58.850,19990.000,200,27.274,0.8,True
66,DMV_ofnan,DARE(GAU),distill,200000.0,10.340,1.272,93.167,226.100,200,62.243,0.8,True
67,DMV_ofnan,DARE(transformer),distill,2000.0,2.306,1.827,5.315,18.714,200,27.433,0.85,True
68,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,5.242,1.323,28.000,125.000,200,62.261,0.75,True
69,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,387.395,2.865,131.000,57062.000,200,27.924,0.85,True
70,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.648,1.189,2.622,73.000,2000,27.286,0.8,
71,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,2.825,1.541,11.118,28.000,200,62.437,0.75,True
72,DMV_ofnan,DARE(GAU),distill,20000.0,8.181,1.266,26.000,600.000,200,62.308,0.85,True
73,DMV_ofnan,DARE(GAU),distill,,22.645,1.171,62.000,2261.000,200,62.238,,
74,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,26.579,1.137,62.000,2202.000,200,62.276,,
75,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,9.220,1.259,36.675,600.000,200,62.324,0.85,True
76,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.429,1.844,5.500,26.200,200,27.478,,
77,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,1.280,1.140,1.928,1.928,19,62.531,0.8,
78,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.583,1.185,8.217,8.217,20,27.009,0.2,
79,DMV_ofnan,DARE(GAU),distill,,8.274,1.274,34.449,300.000,200,62.367,0.85,True
80,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,4.529,1.284,15.182,903.000,2000,62.371,,
81,DMV_ofnan,DARE(GAU),distill,200000.0,10.722,1.275,94.500,194.800,200,62.273,0.85,True
82,DMV_ofnan,DARE(GAU),distill,20000.0,5.072,1.282,25.571,125.000,200,62.232,0.75,True
83,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.268,1.851,4.746,18.714,200,27.509,0.85,True
84,DMV_ofnan,DARE(GAU),distill,,1.769,1.233,10.500,10.500,20,62.335,,
85,DMV_ofnan,DARE(GAU),distill,2000.0,8.002,1.488,17.000,903.750,200,62.326,0.85,True
86,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,87.509,2.507,155.767,7818.000,200,27.377,0.75,True
87,DMV_ofnan,DARE(transformer),distill,200000.0,47.665,2.393,131.000,3598.000,200,27.397,0.75,True
88,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,1.786,1.205,11.118,11.118,20,62.477,,
89,DMV_ofnan,DARE(transformer),distill,2000.0,2.269,1.833,5.108,18.714,200,27.472,0.85,True
90,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,3.172,1.591,15.000,58.000,200,62.413,0.85,True
91,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,12.157,1.262,67.000,498.000,200,62.230,0.75,True
92,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,19.368,1.279,40.000,1688.000,200,62.336,0.75,True
93,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.603,1.181,8.591,8.591,20,24.970,1.0,
94,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,12.109,1.314,51.841,600.000,200,62.268,0.75,True
95,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,388.831,1.714,1259.269,26951.000,200,27.513,,
96,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.297,1.817,5.277,16.375,200,27.501,0.85,True
97,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,10.430,1.236,46.583,275.250,200,62.248,0.8,True
98,DMV_ofnan,DARE(transformer),distill,20000.0,17659.433,1.861,897.882,2327646.000,200,27.190,0.85,True
99,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.453,1.714,6.411,26.200,200,27.295,0.8,True
100,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,413.671,2.827,94.000,71190.000,200,27.190,0.85,True
101,DMV_ofnan,DARE(transformer),distill,,118.649,2.822,174.000,7196.000,200,27.691,0.2,True
102,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,711.197,2.064,1776.139,40994.853,200,27.321,0.75,True
103,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,4.108,1.552,13.857,125.000,200,62.407,0.75,True
104,DMV_ofnan_2000dmv,DARE(transformer),finetune,2000.0,1.821,1.536,3.552,9.877,200,27.445,,
105,DMV_ofnan,DARE(transformer),finetune,2000.0,1.851,1.476,3.462,13.770,200,27.448,0.8,True
106,DMV_ofnan,DARE(transformer),finetune,200000.0,2312.281,122.291,11345.527,127777.500,200,27.519,0.8,True
107,DMV_ofnan,DARE(transformer),finetune,,2930.256,60.270,7934.000,255555.000,200,27.577,,
108,DMV_ofnan_200000dmv,DARE(transformer),finetune,200000.0,2788.924,48.770,7934.000,256101.600,200,27.574,,
109,DMV_ofnan,DARE(transformer),finetune,,66.545,11.500,164.083,3194.000,200,27.458,,
110,DMV_ofnan_20000dmv,DARE(GAU),finetune,20000.0,7.661,1.152,6.629,1064.667,200,62.407,,
111,DMV_ofnan_20000dmv,DARE(GAU),finetune,20000.0,74.269,1.400,25.000,8702.500,200,62.540,,
112,DMV_ofnan_20000dmv,DARE(transformer),finetune,20000.0,40.287,9.162,128.655,1205.000,200,27.502,,
113,DMV_ofnan_2000dmv,DARE(transformer),finetune,2000.0,1.691,1.536,3.706,3.706,20,25.072,,
114,DMV_ofnan,DARE(GAU),finetune,20000.0,5.485,1.156,4.378,638.800,200,62.419,0.8,True
115,DMV_ofnan,DARE(transformer),finetune,20000.0,34.169,9.333,116.589,903.750,200,27.431,0.8,True
116,DMV_ofnan,DARE(GAU),finetune,2000.0,1.066,1.031,1.253,1.800,200,62.724,0.8,True
117,DMV_ofnan_2000dmv,DARE(GAU),finetune,2000.0,1.086,1.034,1.333,3.250,2000,62.448,,
118,DMV_ofnan,DARE(GAU),finetune,200000.0,82.576,1.452,25.000,8702.500,200,62.484,0.8,True
119,DMV_ofnan_2000dmv,DARE(transformer),finetune,2000.0,1.973,1.471,3.281,111.936,2000,27.213,,
120,DMV_ofnan,DARE(GAU),finetune,,82.929,1.464,25.000,8702.500,200,62.523,,
121,DMV_ofnan_200000dmv,DARE(GAU),finetune,200000.0,74.678,1.441,26.762,8702.500,200,62.507,,
122,DMV_ofnan,DARE(GAU),finetune,,82.577,1.455,24.880,8702.500,200,62.618,,
123,DMV_ofnan_2000dmv,DARE(GAU),finetune,2000.0,1.062,1.029,1.230,1.800,200,62.422,,
124,DMV_ofnan_20000dmv,DARE(transformer),finetune,20000.0,69.111,11.500,122.077,3194.000,200,27.497,,
125,DMV_ofnan_2000dmv,DARE(transformer),retrain,2000.0,97.777,14.851,272.000,3615.000,200,27.412,,
126,DMV_ofnan,DARE(transformer),retrain,2000.0,122.729,19.338,492.250,4351.250,200,27.537,0.8,True
127,DMV_ofnan,DARE(transformer),retrain,200000.0,7067.296,68.926,40309.000,154577.000,200,27.438,0.8,True
128,DMV_ofnan,DARE(transformer),retrain,,7246.613,66.931,39995.000,154577.000,200,27.338,,
129,DMV_ofnan_200000dmv,DARE(transformer),retrain,200000.0,6004.753,43.059,39995.000,154577.000,200,27.321,,
130,DMV_ofnan,DARE(transformer),retrain,,97.767,15.108,272.000,3615.000,200,27.364,,
131,DMV_ofnan_20000dmv,DARE(GAU),retrain,20000.0,2475.535,46.560,13262.000,57062.000,200,62.455,,
132,DMV_ofnan_20000dmv,DARE(GAU),retrain,20000.0,2345.824,36.000,12125.895,57062.000,200,62.504,,
133,DMV_ofnan_2000dmv,DARE(transformer),retrain,2000.0,1.564,1.198,2.432,73.000,2000,27.450,1.0,
134,DMV_ofnan_20000dmv,DARE(transformer),retrain,20000.0,1614.410,43.697,9995.000,30915.400,200,27.288,,
135,DMV_ofnan,DARE(GAU),retrain,20000.0,2954.439,72.127,17017.000,50278.222,200,62.632,0.8,True
136,DMV_ofnan_2000dmv,DARE(GAU),retrain,2000.0,3.358,1.278,10.500,216.250,2000,62.465,,
137,DMV_ofnan,DARE(transformer),retrain,20000.0,2329.626,62.000,13436.333,38644.250,200,27.375,0.8,True
138,DMV_ofnan,DARE(GAU),retrain,2000.0,1464.710,84.276,9382.846,47720.400,200,62.300,0.8,True
139,DMV_ofnan,DARE(GAU),retrain,200000.0,3215.246,67.666,17017.000,56563.000,200,62.304,0.8,True
140,DMV_ofnan,DARE(GAU),retrain,,2966.410,62.539,17405.000,40309.000,200,62.468,,
141,DMV_ofnan_200000dmv,DARE(GAU),retrain,200000.0,2572.857,39.603,13699.429,57062.000,200,62.509,,
142,DMV_ofnan,DARE(GAU),retrain,,1653.433,84.137,11041.000,79534.000,200,62.492,,
143,DMV_ofnan_2000dmv,DARE(GAU),retrain,2000.0,1649.300,83.913,11041.000,79534.000,200,62.454,,
144,DMV_ofnan_20000dmv,DARE(transformer),retrain,20000.0,2266.174,43.967,13436.333,57062.000,200,27.367,,
